account_number,customer_id,initial_balance,overdraft_limit,branch_id,account_open_date
ACC000041,CUST0041,1313.88,2700.58,1,2021-04-28
ACC000042,CUST0042,1028.77,1793.55,1,2014-01-28
ACC000043,CUST0043,758.31,2168.48,1,2020-02-12
ACC000044,CUST0044,1832.71,2984.82,1,2017-01-10
ACC000045,CUST0045,924.03,2081.18,1,2016-02-07
ACC000046,CUST0046,521.18,2780.13,1,2015-05-28
ACC000047,CUST0047,1768.2,3633.52,1,2014-01-11
ACC000048,CUST0048,1329.86,2546.24,1,2014-09-13
ACC000049,CUST0049,464.79,2258.11,1,2020-11-06
ACC000050,CUST0050,452.96,1838.09,1,2016-01-23
ACC000051,CUST0051,1053.34,3094.3,1,2013-06-07
ACC000052,CUST0052,690.48,2612.57,1,2013-04-29
ACC000053,CUST0053,844.22,2055.65,1,2016-07-19
ACC000054,CUST0054,549.9,2697.16,1,2013-05-16
ACC000055,CUST0055,798.19,2246.97,1,2016-04-24
ACC000056,CUST0056,976.69,2243.27,1,2021-10-16
ACC000057,CUST0057,4532.15,3681.99,1,2016-02-22
ACC000058,CUST0058,654.64,2611.54,1,2019-01-21
ACC000059,CUST0059,4254.78,2534.95,1,2015-04-03
ACC000060,CUST0060,893.18,2120.09,1,2021-05-03
ACC000061,CUST0061,1512.05,3525.01,1,2012-10-09
ACC000062,CUST0062,733.77,1796.27,1,2020-06-20
ACC000063,CUST0063,499.11,2354.73,1,2017-06-09
ACC000064,CUST0064,977.03,2630.4,1,2018-04-20
ACC000065,CUST0065,436.62,2685.01,1,2013-09-08
ACC000066,CUST0066,762.29,1872.05,1,2022-08-18
ACC000067,CUST0067,306.49,2115.86,1,2016-07-13
ACC000068,CUST0068,3418.08,2568.22,1,2013-03-03
ACC000069,CUST0069,945.5,3142.84,1,2018-06-24
ACC000070,CUST0070,736.43,2894.93,1,2015-07-29
ACC000071,CUST0071,1408.31,1894.74,1,2021-08-03
ACC000072,CUST0072,4931.63,2708.19,1,2019-05-03
ACC000073,CUST0073,521.19,1786.27,1,2019-03-23
ACC000074,CUST0074,3464.7,2875.58,1,2022-03-20
ACC000075,CUST0075,783.86,2394.56,1,2021-12-13
ACC000076,CUST0076,8993.9,2952.41,1,2016-05-05
ACC000077,CUST0077,245.1,2227.41,1,2018-10-05
ACC000078,CUST0078,1588.66,2563.15,1,2014-06-11
ACC000079,CUST0079,2053.16,3651.36,1,2020-03-09
ACC000080,CUST0080,192.31,2364.51,1,2013-01-24
ACC000081,CUST0081,704.58,2715.56,1,2012-10-19
ACC000082,CUST0082,3568.45,3015.7,1,2019-09-14
ACC000083,CUST0083,772.67,3729.0,1,2014-11-04
ACC000084,CUST0084,816.14,2205.85,1,2020-12-15
ACC000085,CUST0085,449.41,2162.17,1,2015-07-14
ACC000086,CUST0086,580.79,1506.4,1,2013-03-07
ACC000087,CUST0087,2652.53,2469.72,1,2021-11-17
ACC000088,CUST0088,6583.12,2706.38,1,2014-11-24
ACC000089,CUST0089,1153.29,2319.63,1,2022-01-02
ACC000090,CUST0090,1015.05,1783.84,1,2013-06-02
ACC000091,CUST0091,243.14,1528.5,1,2016-07-19
ACC000092,CUST0092,1194.84,3276.81,1,2015-05-28
ACC000093,CUST0093,637.39,2837.06,1,2017-05-16
ACC000094,CUST0094,1315.52,2848.85,1,2019-06-01
ACC000095,CUST0095,1225.3,2150.66,1,2021-08-22
ACC000096,CUST0096,811.0,3932.41,1,2016-05-18
ACC000097,CUST0097,1794.11,2739.16,1,2014-02-10
ACC000098,CUST0098,597.16,2440.84,1,2016-06-09
ACC000099,CUST0099,3130.39,3837.34,1,2016-04-09
ACC000100,CUST0100,8793.12,3664.93,1,2014-08-21
